raw_input,expected_degree,predicted_degree,expected_field,predicted_field,status,layer_used,confidence,fuzzy_score,error_category
Currently pursuing 4-Year B.Tech (Hons) with specialization in aeroengg at VIT Vellore.,Bachelor of Technology,,Aerospace Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Ananya holds a B.TECH/BE degree in aeronauticalengineering.,Bachelor of Technology,,Aerospace Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
"Education: b.tech (hons), Aeronautical Engineering, IIT Delhi, batch of 2026.",Bachelor of Technology,,Aerospace Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Delhi University; qualification b.tech. (aerospaceengg).,Bachelor of Technology,,Aerospace Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
I completed my 4-Year B.Tech (Hons) in biotechnologyengg from VIT Vellore in 2024.,Bachelor of Technology,Bachelor of Engineering,Biotechnology Engineering,,review_needed,L2,0.7017,70.2,wrong_degree_and_field
Currently pursuing B.TECH/BE with specialization in biotechengg at Manipal University.,Bachelor of Technology,,Biotechnology Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Riya holds a b.tech (hons) degree in Biotech Engg.,Bachelor of Technology,,Biotechnology Engineering,Biotechnology Engineering,review_needed,L3_stub,0.35,35,wrong_degree
"Education: b.tech., Biotechnology Engineering, Delhi University, batch of 2016.",Bachelor of Technology,,Biotechnology Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of University of Mumbai; qualification B. TECH (biotech).,Bachelor of Technology,,Biotechnology Engineering,Biotechnology Engineering,review_needed,L3_stub,0.35,35,wrong_degree
I completed my B.TECH/BE in Artificial Intelligence from Manipal University in 2025.,Bachelor of Technology,,Artificial Intelligence and Machine Learning,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing b.tech (hons) with specialization in artificialintelligence at IIT Delhi.,Bachelor of Technology,,Artificial Intelligence and Machine Learning,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Kabir holds a b.tech. degree in Machine Learning.,Bachelor of Technology,b.tech. degree,Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning,review_needed,L3_stub,0.35,35,wrong_degree
"Education: B. TECH, machinelearning, University of Mumbai, batch of 2017.",Bachelor of Technology,,Artificial Intelligence and Machine Learning,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Anna University; qualification B.Tech. (Hons) (AI and ML).,Bachelor of Technology,,Artificial Intelligence and Machine Learning,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
I completed my b.tech (hons) in Data Sc from IIT Delhi in 2026.,Bachelor of Technology,,Data Science,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing b.tech. with specialization in datasc at Delhi University.,Bachelor of Technology,,Data Science,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Neha holds a B. TECH degree in datascience.,Bachelor of Technology,B. TECH degree,Data Science,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
"Education: B.Tech. (Hons), Data Science, Anna University, batch of 2018.",Bachelor of Technology,,Data Science,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Pune University; qualification B. Tech (Hons) (ds).,Bachelor of Technology,,Data Science,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
I completed my b.tech. in Cyber Security from Delhi University in 2016.,Bachelor of Technology,,Cybersecurity,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing B. TECH with specialization in informationsecurity at University of Mumbai.,Bachelor of Technology,,Cybersecurity,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Arjun holds a B.Tech. (Hons) degree in Information Security.,Bachelor of Technology,,Cybersecurity,Cybersecurity,review_needed,L3_stub,0.35,35,wrong_degree
"Education: B. Tech (Hons), networksecurity, Pune University, batch of 2019.",Bachelor of Technology,,Cybersecurity,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
I completed my B. TECH in Software Engg from University of Mumbai in 2017.,Bachelor of Technology,,Software Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing B.Tech. (Hons) with specialization in softwareengg at Anna University.,Bachelor of Technology,,Software Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Isha holds a B. Tech (Hons) degree in softwareengineering.,Bachelor of Technology,,Software Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
Graduate of IIM Ahmedabad; qualification B. Tech Hons (se).,Bachelor of Technology,,Software Engineering,Software Engineering,review_needed,L3_stub,0.35,35,wrong_degree
I completed my B.Tech. (Hons) in Instrumentation Engineering from Anna University in 2018.,Bachelor of Technology,,Instrumentation Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing B. Tech (Hons) with specialization in instrumentationengg at Pune University.,Bachelor of Technology,,Instrumentation Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
"Education: B. Tech Hons, ie, IIM Ahmedabad, batch of 2021.",Bachelor of Technology,,Instrumentation Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Jadavpur University; qualification 4-YearB.Tech (IE).,Bachelor of Technology,,Instrumentation Engineering,Production Engineering,review_needed,L3_stub,0.35,35,wrong_degree_and_field
4-Year B Tech - iandc - VIT Vellore - 2023,Bachelor of Technology,Bachelor of Technology,Instrumentation Engineering,,resolved,L1,1.0,100,wrong_field
I completed my B. Tech (Hons) in Production Engineering from Pune University in 2019.,Bachelor of Technology,,Production Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Aarav holds a B. Tech Hons degree in productionengg.,Bachelor of Technology,B. Tech Hons degree,Production Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
Graduate of VIT Vellore; qualification 4-Year B Tech (manufacturing).,Bachelor of Technology,,Production Engineering,Production Engineering,review_needed,L3_stub,0.35,35,wrong_degree
I completed my bachelor of technology in metallurgicalengg from Amity University in 2020.,Bachelor of Technology,Bachelor of Technology,Metallurgical Engineering,,review_needed,L2,0.8035,80.4,wrong_field
Currently pursuing B. Tech Hons with specialization in materialsscience at IIM Ahmedabad.,Bachelor of Technology,,Metallurgical Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Manipal University; qualification B.Tech(Hons) (materialsengg).,Bachelor of Technology,,Metallurgical Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
I completed my B. Tech Hons in Environmental Engg from IIM Ahmedabad in 2021.,Bachelor of Technology,,Environmental Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing 4-YearB.Tech with specialization in Environmental Engineering at Jadavpur University.,Bachelor of Technology,,Environmental Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Riya holds a 4-Year B Tech degree in environmentalengg.,Bachelor of Technology,Bachelor of Technology,Environmental Engineering,,review_needed,L2,0.8478,84.8,wrong_field
"Education: B.Tech(Hons), environmentalengineering, Manipal University, batch of 2024.",Bachelor of Technology,,Environmental Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of IIT Delhi; qualification BachelorofTechnology (environmentengineering).,Bachelor of Technology,,Environmental Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
Currently pursuing 4-Year B Tech with specialization in textile at VIT Vellore.,Bachelor of Technology,,Textile Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Kabir holds a B.Tech(Hons) degree in Textile Engineering.,Bachelor of Technology,,Textile Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
Graduate of Delhi University; qualification Bacheler of Technology (Hons) (textileengg).,Bachelor of Technology,,Textile Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
I completed my 4-Year B Tech in Food Technology from VIT Vellore in 2023.,Bachelor of Technology,Bachelor of Technology,Food Technology,,review_needed,L2,0.872,87.2,wrong_field
Currently pursuing B.Tech(Hons) with specialization in foodtechnology at Manipal University.,Bachelor of Technology,,Food Technology,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Neha holds a BachelorofTechnology degree in foodscience.,Bachelor of Technology,Bachelor of Technology,Food Technology,,fuzzy_matched,L2,0.8833,88.3,wrong_field
"Education: Bacheler of Technology (Hons), Food Science, Delhi University, batch of 2026.",Bachelor of Technology,,Food Technology,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of University of Mumbai; qualification BTech (Hons) (foodscienceandtechnology).,Bachelor of Technology,,Food Technology,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
I completed my Enginering of Engineering in Computer Science & Engineering from Manipal University in 2024.,Bachelor of Engineering,Master of Engineering,Computer Science and Engineering,,review_needed,L2,0.7038,70.4,wrong_degree_and_field
Currently pursuing BEng with specialization in Computers at IIT Delhi.,Bachelor of Engineering,,Computer Science and Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Anna University; qualification Bachelor of Engineering (Hons) (compsci).,Bachelor of Engineering,,Computer Science and Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
Bachelor of Engineering Hons - Information Technology - Pune University - 2018,Bachelor of Engineering,Bachelor of Engineering,Computer Science and Engineering,,resolved,L1,1.0,100,wrong_field
I completed my BEng in I.T. from IIT Delhi in 2025.,Bachelor of Engineering,,Information Technology,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing bachelor of engineering with specialization in infotech at Delhi University.,Bachelor of Engineering,,Information Technology,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
"Education: Bachelor of Engineering (Hons), Infotech, Anna University, batch of 2017.",Bachelor of Engineering,,Information Technology,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
Graduate of Pune University; qualification Bachelor of Engineering Hons (Information Tech).,Bachelor of Engineering,,Information Technology,Information Technology,review_needed,L3_stub,0.35,35,wrong_degree
Tecnolgy of Engineering - informationtech - Amity University - 2019,Bachelor of Engineering,Master of Engineering,Information Technology,,review_needed,L2,0.7667,76.7,wrong_degree_and_field
Currently pursuing BACHELER OF ENGINEERING with specialization in E&C at University of Mumbai.,Bachelor of Engineering,,Electronics and Communication Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Rohan holds a Bachelor of Engineering (Hons) degree in eandc.,Bachelor of Engineering,Bachelor of Engineering,Electronics and Communication Engineering,,review_needed,L2,0.7317,73.2,wrong_field
Graduate of Amity University; qualification Tecnolgy of Engineering (ec).,Bachelor of Engineering,,Electronics and Communication Engineering,Electronics and Communication Engineering,review_needed,L3_stub,0.35,35,wrong_degree
Currently pursuing Bachelor of Engineering (Hons) with specialization in electengg at Anna University.,Bachelor of Engineering,,Electrical Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
"Education: Tecnolgy of Engineering, electricalandelectronics, Amity University, batch of 2019.",Bachelor of Engineering,Diploma in Engineering,Electrical Engineering,,review_needed,L2,0.7536,75.4,wrong_degree_and_field
Graduate of IIM Ahmedabad; qualification Bacheler of Engineering Hons (Electrical & Electronics).,Bachelor of Engineering,,Electrical Engineering,Electrical Engineering,review_needed,L3_stub,0.35,35,wrong_degree
Currently pursuing Bachelor of Engineering Hons with specialization in Mechanical Engg at Pune University.,Bachelor of Engineering,,Mechanical Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
Ananya holds a Tecnolgy of Engineering degree in mechanicalengg.,Bachelor of Engineering,Bachelor of Engineering,Mechanical Engineering,,review_needed,L2,0.7143,71.4,wrong_field
Graduate of Jadavpur University; qualification be (mechanicalengineering).,Bachelor of Engineering,,Mechanical Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
Currently pursuing Tecnolgy of Engineering with specialization in Civil at Amity University.,Bachelor of Engineering,,Civil Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
"Education: be, civilengg, Jadavpur University, batch of 2021.",Bachelor of Engineering,,Civil Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of VIT Vellore; qualification B.ENG (Civil Engg.).,Bachelor of Engineering,,Civil Engineering,Civil Engineering,review_needed,L3_stub,0.35,35,wrong_degree
Bacheler of Engineering - civilengineering - Manipal University - 2023,Bachelor of Engineering,Bachelor of Engineering,Civil Engineering,,resolved,L1,1.0,100,wrong_field
I completed my Tecnolgy of Engineering in chemical from Amity University in 2019.,Bachelor of Engineering,Master of Technology,Chemical Engineering,,review_needed,L2,0.7368,73.7,wrong_degree_and_field
Currently pursuing Bacheler of Engineering Hons with specialization in Chemical at IIM Ahmedabad.,Bachelor of Engineering,,Chemical Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Kabir holds a be degree in che.,Bachelor of Engineering,be degree,Chemical Engineering,Chemical Engineering,review_needed,L3_stub,0.35,35,wrong_degree
"Education: B.ENG, ChE, VIT Vellore, batch of 2022.",Bachelor of Engineering,,Chemical Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Manipal University; qualification Bacheler of Engineering (chemicalengineering).,Bachelor of Engineering,,Chemical Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
B. E. Hons - chemengg - IIT Delhi - 2024,Bachelor of Engineering,Bachelor of Engineering,Chemical Engineering,,resolved,L1,1.0,100,wrong_field
Currently pursuing be with specialization in Aerospace Engineering at Jadavpur University.,Bachelor of Engineering,,Aerospace Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Neha holds a B.ENG degree in Aero.,Bachelor of Engineering,B.ENG degree,Aerospace Engineering,Aerospace Engineering,review_needed,L3_stub,0.35,35,wrong_degree
Graduate of IIT Delhi; qualification B. E. Hons (Aerospace).,Bachelor of Engineering,,Aerospace Engineering,Aerospace Engineering,review_needed,L3_stub,0.35,35,wrong_degree
I completed my be in Bio Tech from Jadavpur University in 2021.,Bachelor of Engineering,,Biotechnology Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing B.ENG with specialization in Bio Technology at VIT Vellore.,Bachelor of Engineering,,Biotechnology Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
"Education: B. E. Hons, biotechnologyengg, IIT Delhi, batch of 2024.",Bachelor of Engineering,,Biotechnology Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Delhi University; qualification be hons (biotechengg).,Bachelor of Engineering,,Biotechnology Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
I completed my B.ENG in IE from VIT Vellore in 2022.,Bachelor of Engineering,,Instrumentation Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing Bacheler of Engineering with specialization in iandc at Manipal University.,Bachelor of Engineering,,Instrumentation Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Isha holds a B. E. Hons degree in I&C.,Bachelor of Engineering,B. E. Hons degree,Instrumentation Engineering,Instrumentation Engineering,review_needed,L3_stub,0.35,35,wrong_degree
"Education: be hons, instrumentationandcontrol, Delhi University, batch of 2025.",Bachelor of Engineering,,Instrumentation Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of University of Mumbai; qualification B.E. Hons (Instrumentation and Control).,Bachelor of Engineering,,Instrumentation Engineering,Instrumentation Engineering,review_needed,L3_stub,0.35,35,wrong_degree
I completed my Bacheler of Engineering in productionengg from Manipal University in 2023.,Bachelor of Engineering,Bachelor of Engineering,Production Engineering,,fuzzy_matched,L2,0.9139,91.4,wrong_field
Currently pursuing B. E. Hons with specialization in Production Engg at IIT Delhi.,Bachelor of Engineering,,Production Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Rohan holds a be hons degree in manufacturing.,Bachelor of Engineering,be hons degree,Production Engineering,Production Engineering,review_needed,L3_stub,0.35,35,wrong_degree
"Education: B.E. Hons, Manufacturing, University of Mumbai, batch of 2026.",Bachelor of Engineering,,Production Engineering,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Anna University; qualification b.eng (manufacturingengg).,Bachelor of Engineering,,Production Engineering,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
I completed my B.SC in engineeringphysics from IIT Delhi in 2024.,Bachelor of Science,,Physics,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing B.Sc (Hons) with specialization in Engineering Physics at Delhi University.,Bachelor of Science,,Physics,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Aarav holds a BSc degree in Physics.,Bachelor of Science,BSc degree,Physics,Physics,review_needed,L3_stub,0.35,35,wrong_degree
Graduate of Pune University; qualification B. Sc (Hons) (phy).,Bachelor of Science,,Physics,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
I completed my B.Sc (Hons) in Industrial Chemistry from Delhi University in 2025.,Bachelor of Science,,Chemistry,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing BSc with specialization in Chemistry at University of Mumbai.,Bachelor of Science,,Chemistry,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Ananya holds a BScHons degree in chemistry.,Bachelor of Science,BScHons degree,Chemistry,Chemistry,review_needed,L3_stub,0.35,35,wrong_degree
"Education: B. Sc (Hons), Chem, Pune University, batch of 2017.",Bachelor of Science,,Chemistry,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Amity University; qualification b.sc. (chem).,Bachelor of Science,,Chemistry,Chemistry,review_needed,L3_stub,0.35,35,wrong_degree
B. Sc Hons - appliedchemistry - IIM Ahmedabad - 2019,Bachelor of Science,Bachelor of Science,Chemistry,,resolved,L1,1.0,100,wrong_field
I completed my BSc in puremathematics from University of Mumbai in 2026.,Bachelor of Science,,Mathematics,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing BScHons with specialization in Pure Mathematics at Anna University.,Bachelor of Science,,Mathematics,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Riya holds a B. Sc (Hons) degree in statsandmaths.,Bachelor of Science,,Mathematics,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
"Education: b.sc., Stats & Maths, Amity University, batch of 2018.",Bachelor of Science,,Mathematics,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of IIM Ahmedabad; qualification B. Sc Hons (Mathematics).,Bachelor of Science,,Mathematics,Mathematics,review_needed,L3_stub,0.35,35,wrong_degree
B Sc - mathematics - Jadavpur University - 2020,Bachelor of Science,Bachelor of Science,Mathematics,,resolved,L1,1.0,100,wrong_field
Currently pursuing B. Sc (Hons) with specialization in Stats at Pune University.,Bachelor of Science,,Statistics,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Kabir holds a b.sc. degree in stats.,Bachelor of Science,b.sc. degree,Statistics,Statistics,review_needed,L3_stub,0.35,35,wrong_degree
"Education: B. Sc Hons, Applied Statistics, IIM Ahmedabad, batch of 2019.",Bachelor of Science,,Statistics,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Jadavpur University; qualification B Sc (appliedstatistics).,Bachelor of Science,,Statistics,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
BSC - statisticsanddatascience - VIT Vellore - 2021,Bachelor of Science,Bachelor of Science,Statistics,,resolved,L1,1.0,100,wrong_field
I completed my B. Sc (Hons) in Bio from Pune University in 2017.,Bachelor of Science,,Biology,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing b.sc. with specialization in bio at Amity University.,Bachelor of Science,,Biology,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Neha holds a B. Sc Hons degree in Life Sciences.,Bachelor of Science,B. Sc Hons degree,Biology,Biology,review_needed,L3_stub,0.35,35,wrong_degree
"Education: B Sc, lifesciences, Jadavpur University, batch of 2020.",Bachelor of Science,,Biology,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of VIT Vellore; qualification BSC (biologicalsciences).,Bachelor of Science,,Biology,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
I completed my b.sc. in Microbiology from Amity University in 2018.,Bachelor of Science,,Microbiology,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing B. Sc Hons with specialization in microbiology at IIM Ahmedabad.,Bachelor of Science,,Microbiology,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Arjun holds a B Sc degree in microbio.,Bachelor of Science,B Sc degree,Microbiology,,review_needed,L3_stub,0.35,35,wrong_degree_and_field
"Education: BSC, Micro Bio, VIT Vellore, batch of 2021.",Bachelor of Science,,Microbiology,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Graduate of Manipal University; qualification Bachelor of Science (Micro Biology).,Bachelor of Science,,Microbiology,Microbiology,review_needed,L3_stub,0.35,35,wrong_degree
bachelor of science - Microbiology - IIT Delhi - 2023,Bachelor of Science,Bachelor of Science,Microbiology,,resolved,L1,1.0,100,wrong_field
I completed my B. Sc Hons in biochemistry from IIM Ahmedabad in 2019.,Bachelor of Science,,Biochemistry,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Currently pursuing B Sc with specialization in Bio Chemistry at Jadavpur University.,Bachelor of Science,,Biochemistry,,unresolved,unresolved,0.0,0,unresolved_below_confidence_threshold
Isha holds a BSC degree in biochem.,Bachelor of Science,BSC degree,Biochemistry,Biochemistry,review_needed,L3_stub,0.35,35,wrong_degree
Graduate of IIT Delhi; qualification bachelor of science (Biochemistry).,Bachelor of Science,,Biochemistry,Biochemistry,review_needed,L3_stub,0.35,35,wrong_degree
B  Sc - biochemistry - Delhi University - 2024,Bachelor of Science,Bachelor of Science,Biochemistry,,resolved,L1,1.0,100,wrong_field
